tsl情感,tsl主题,byd情感,byd主题
0.941233934,6,0.18953783,0
0.456109684,0,0.973700457,5
0.54966945,2,0.974970116,3
0.929183888,4,0.998824149,5
0.050869659,0,0.958897312,3
0.050869659,0,0.602953889,0
0.334016832,0,0.922495615,3
0.581938714,1,0.000569667,2
0.203860906,0,0.964023646,5
0.050869659,0,0.221000582,4
0.037715638,6,0.618827374,5
0.208325144,0,0.87836649,1
0.447678459,0,0.87836649,1
0.458811275,0,0.313385808,4
0.176655516,0,0.777949077,0
0.050869659,0,0.890899361,0
0.359941793,1,0.449177231,0
0.915653036,3,0.629577218,0
0.067637086,6,0.149177231,0
0.050869659,0,0.799996576,0
0.368722654,2,0.062142321,3
0.550573579,2,0.116028391,1
0.00071987,6,0.603170986,5
0.685572392,4,0.511654552,0
0.050869659,0,0.9998539,5
0.184151973,0,0.184156264,2
0.269589989,0,0.797617425,0
0.081960934,0,0.775989351,4
0.120899537,4,0.236262082,4
0.128557962,0,0.333316048,2
0.062887546,0,0.988086727,5
0.229763715,0,0.971843071,2
0.047804894,4,0.974493222,2
0.134234711,1,0.230679898,4
0.160472756,0,0.126186656,0
0.975457642,0,0.025605841,0
,0,0.016556181,0
0.069352771,2,0.899624037,0
0.06260312,6,0.639352161,0
0.842178754,0,0.989634663,3
0.026240197,0,0.972585088,3
0.374495208,0,0.229797456,2
0.990280854,0,0.946596755,3
0.34375,0,0.922495615,3
0.103732389,6,0.339146522,0
0.933294426,0,0.999820874,3
0.81081313,5,0.457865887,2
0.380553413,0,0.882414707,0
0.380553413,0,0.503272058,0
0.359941793,1,0.449177231,0
0.094735616,0,0.684686115,0
0.727869956,2,0.64032797,0
0.228185678,6,0.021483086,0
0.404876628,0,0.023535308,0
0.99291147,0,0.221000582,4
0.473767218,0,0.564508933,0
0.225290157,0,0.604702099,3
0.190588786,5,0.987622869,3
0.160683818,0,0.223954084,2
0.004311023,1,0.98878706,5
0.17168183,1,0.979222204,1
0.915653036,3,0.979222204,1
0.915653036,3,0.982382241,5
0.380553413,0,0.287931808,2
0.030325672,0,0.899624037,0
0.263807181,0,0.449177231,0
0.55624947,5,0.699985187,4
0.380553413,0,0.828504154,1
0.150185692,0,0.922495615,3
0.966219336,3,0.042354554,3
0.993730843,3,0.277245663,1
0.203773772,5,0.39716016,4
0.956521739,3,0.583172354,4
0.359941793,1,0.093796614,3
0.307445604,0,0.141902997,1
0.223763623,0,0.047247801,3
0.455579962,0,0.948416803,1
0.054869763,4,0.507562279,1
0.868306757,5,0.753450927,5
0.380553413,0,0.023014892,0
0.866267476,2,0.797617425,0
0.000663504,2,0.995808563,1
0.368722654,2,0.777949077,0
0.018623802,6,0.107070476,0
0.308678163,0,0.149177231,0
0.947319289,0,0.192513236,2
0.380553413,0,0.109027101,2
0.849396801,2,0.336458914,0
0.263807181,0,0.242460179,0
0.272682916,0,0.882414707,0
0.380553413,0,0.962079731,0
0.237548035,6,0.899624037,0
0.997506368,3,0.838167039,5
0.359941793,1,0.541512041,3
0.5,2,0.890899361,0
0.924812049,0,0.267467237,2
0.914261181,0,0.974056135,5
