tsl,byd
0.088218467,0.788580845
0.935021428,0.892491186
0.119341345,0.015119046
0.473767218,0.122130192
0.020648319,0.999214419
0.75032638,0.40697903
0.991184956,0.000533581
0.746808801,0.081850676
0.81458371,0.503272058
0.152585419,0.425624146
0.178935739,0.970315793
0.408769838,0.985947259
0.631422085,0.206203446
0.030817547,0.503272058
0.026155675,0.999325435
0.246148199,0.2529347
0.353419163,0.128442196
0.300352146,0.293549671
0.22263952,0.069498113
0.162016628,0.991101412
0.359646322,0.947167614
0.00583959,0.991302941
0.806322633,0.667519673
0.651154626,0.80755662
0.188782345,0.108054705
0.936282854,0.99783099
0.544759364,0.110239349
0.395322915,0.27724653
0.188270589,0.676742873
0.170413247,0.893838858
0.996664413,0.246722144
0.30679994,0.84356617
0.637489233,0.519856185
0.05752179,0.762239259
0.174393891,0.694005186
0.539831664,0.503272058
0.146383062,0.503272058
0.219962973,0.240036729
0.168289615,0.009428581
0.682399933,0.566558872
0.857224377,0.503891724
0.5,0.246284703
0.491658343,0.079682351
0.19099653,0.079682351
0.953452736,0.157508249
0.541742605,0.999534894
0.400466784,0.221690427
0.095526872,0.934465662
0.225154337,0.800119923
0.263662962,0.034367285
0.992945399,0.107107882
0.473767218,0.999565532
0.890175008,0.410199129
0.726757903,0.503272058
0.211149311,0.424285735
0.024501352,0.777683189
0.691052258,0.863761326
0.638011706,0.371549174
0.795702209,0.974416979
0.530072814,0.158971211
0.224133568,0.647047698
0.439368711,0.016222393
0.061665444,0.974966412
0.458333333,0.700064389
0.666666667,0.478086138
0.891637921,0.968144748
0.630342092,0.958346061
0.702358967,0.999999519
0.503272058,0.535244231
0.450629296,0.357109672
0.59842767,0.350347628
0.75244604,0.002162174
0.634810553,0.414626658
0.636577641,0.924601914
0.624391824,0.207678869
0.645932637,0.868349808
0.878867598,0.920104997
0.497501304,0.002943126
0.861285719,0.984994943
0.990884942,0.999964583
0.042687327,0.202220855
0.310903822,0.260570695
0.10275264,0.979096857
0.560319639,0.250931407
0.899122593,0.569691667
0.878277873,0.036856017
0.508696586,0.004696653
0.508696586,0.682310112
0.645933918,0.688587492
0.613401516,0.451705753
0.226833154,0.044799857
0.947276199,0.517734974
0.40969985,0.991312477
0.216724849,0.302338156
0.286471138,0.503272058
0.506676239,0.362438116
